car_maker_name,car_segment_name,energy,body_style,code_age,age_years,log_total_vehicles
VOLKSWAGEN,Passat,LPG,BERLINE,11 years and older,10.2,7.005066860706799
MERCEDES,Classe S,DIES,BERLINE,1 year old,9.2,7.064445475838295
RENAULT,Megane,ESS,BERLINE,11 years and older,10.0,2.85771766401809
RENAULT,Megane,ESS,BERLINE,3 to 5 years old,0.6,2.2844655800086393
VOLKSWAGEN,Passat,ESS,BERLINE,11 years and older,0.5,6.1968230682928835
VOLKSWAGEN,Golf,ESS,BREAK,6 to 10 years old,2.8,2.2333626382780984
OPEL,Insignia,ESS,SUV,6 to 10 years old,11.7,5.097721771758831
AUDI,A4,ESS,BERLINE,3 to 5 years old,10.3,2.2627763874243474
MERCEDES,Vito,DIES,UTILITAIRE,6 to 10 years old,2.3,4.8646195864806465
RENAULT,Megane,DIES,BERLINE,1 year old,7.9,8.598028391806578
MERCEDES,Classe C,DIES,BERLINE,3 to 5 years old,9.8,1.4555096645566628
MERCEDES,Classe C,DIES,BERLINE,2 years old,11.6,4.421238168205564
VOLKSWAGEN,Golf,DIES,BREAK,1 year old,11.0,7.66418086932138
MERCEDES,Classe C,ESS,BREAK,3 to 5 years old,0.7,9.503218472989488
MAZDA,6,ESS,BREAK,Less than 1 year old,6.4,3.1475606734529524
VOLKSWAGEN,Tiguan,DIES,SUV,3 to 5 years old,0.6,5.489454393989303
RENAULT,Megane,DIES,BERLINE,Less than 1 year old,11.7,3.5903640547799505
MERCEDES,Classe E,DIES,BREAK,3 to 5 years old,11.7,5.09294088752454
RENAULT,Kangoo,DIES,UTILITAIRE,6 to 10 years old,5.7,9.245175536871283
VOLKSWAGEN,Golf,ESS,BERLINE,11 years and older,1.0,7.798617674483829
MERCEDES,Classe C,DIES,BERLINE,3 to 5 years old,5.3,4.664788121830886
TOYOTA,Corolla,ESS,BERLINE,11 years and older,10.1,3.7999858366880908
VOLKSWAGEN,Passat,DIES,BERLINE,3 to 5 years old,3.1,4.551156998807578
MERCEDES,Classe E,ESS,BERLINE,Less than 1 year old,6.5,3.9365718381054826
MERCEDES,Classe E,HYB-ESS,BREAK,1 year old,5.8,8.917741136236517
PEUGEOT,308,DIES,BREAK,11 years and older,9.3,6.520607865804594
FIAT,Punto,ESS,BERLINE,6 to 10 years old,6.6,8.891904585839086
VOLKSWAGEN,Passat,DIES,BERLINE,11 years and older,11.4,5.389006964020475
MERCEDES,Classe C,DIES,CABRIOLET,11 years and older,1.0,6.998700116068666
VOLKSWAGEN,Polo,ESS,BERLINE,6 to 10 years old,1.1,7.411290655903255
SUZUKI,SX4,DIES,SUV,6 to 10 years old,11.2,3.6930423813897164
OPEL,Combo,DIES,UTILITAIRE,2 years old,4.3,6.603656776877714
MERCEDES,Classe E,ESS,COUPE,3 to 5 years old,10.9,6.529160476774176
RENAULT,Megane,ESS,COUPE,2 years old,3.7,8.08910833430784
SUBARU,Legacy,DIES,BERLINE,3 to 5 years old,0.5,8.616257496658902
PEUGEOT,3008,ESS,SUV,11 years and older,0.6,4.951006150289471
SKODA,Octavia,DIES,BREAK,2 years old,0.5,4.251700467973963
HYUNDAI,Kona,DIES,SUV,2 years old,0.7,5.202976843303536
MERCEDES,Classe E,DIES,COUPE,3 to 5 years old,3.0,4.362563602753484
RENAULT,Dokker,DIES,UTILITAIRE,3 to 5 years old,9.7,7.319488034130353
MERCEDES,Classe E,ESS,BREAK,11 years and older,9.5,8.405379716356205
VOLKSWAGEN,Golf,DIES,BERLINE,11 years and older,1.6,4.2220231651957905
JEEP,Compass,ESS,SUV,3 to 5 years old,1.0,2.904539313399897
MERCEDES,Classe C,HYB-ESS,BERLINE,3 to 5 years old,9.5,3.920348037326404
AUDI,Q2,ESS,SUV,2 years old,0.9,5.5787483498210975
MERCEDES,Classe C,DIES,BERLINE,11 years and older,10.3,1.7457007434345706
AUDI,Q7,DIES,SUV,6 to 10 years old,0.5,3.9689482684647377
MERCEDES,SLS,HYB-ESS,CABRIOLET,11 years and older,3.5,6.998991088620689
AUDI,A5,ESS,COUPE,11 years and older,2.6,4.116775310476094
MERCEDES,Classe GLK,ESS,SUV,6 to 10 years old,9.7,3.7797089249135896
SKODA,Superb,ESS,BERLINE,6 to 10 years old,11.9,1.7164290170057772
MERCEDES,Classe E,DIES,BERLINE,2 years old,5.4,7.481734528044468
MERCEDES,Classe C,ESS,BERLINE,11 years and older,10.0,6.714204020457731
MINI,Countryman,ESS,BERLINE,2 years old,6.3,4.548862168846049
MERCEDES,Classe C,ESS,CABRIOLET,3 to 5 years old,11.6,4.562070194167304
BMW,Serie 5,ESS,BERLINE,11 years and older,3.3,2.0833551949167317
MERCEDES,Classe E,DIES,BREAK,11 years and older,1.4,1.9372961868717717
MERCEDES,Classe E,ESS,CABRIOLET,3 to 5 years old,3.1,5.274234796822129
SEAT,Leon,DIES,BREAK,11 years and older,1.3,4.321738640960367
SKODA,Superb,DIES,BERLINE,Less than 1 year old,1.3,3.2607213675201097
OPEL,Insignia,ESS,BREAK,1 year old,4.0,2.076636358723504
SKODA,Scala,DIES,BERLINE,11 years and older,11.0,0.9304154093388978
MERCEDES,Classe E,DIES,BERLINE,Less than 1 year old,11.9,1.0018809216615514
MERCEDES,Classe E,ESS,BERLINE,1 year old,1.9,2.3030296265775436
MERCEDES,Classe E,ESS,BREAK,1 year old,3.6,10.352396042217796
MERCEDES,Classe E,ESS,COUPE,3 to 5 years old,0.5,6.758446300020726
VOLKSWAGEN,Arteon,HYB-ESS,BERLINE,11 years and older,0.6,1.7298672748689938
RENAULT,Clio,ESS,BREAK,6 to 10 years old,11.1,7.035316462898997
MERCEDES,Classe E,ESS,CABRIOLET,6 to 10 years old,11.0,5.932545572848318
OPEL,Astra,ELEC,BREAK,6 to 10 years old,6.7,6.896366110603426
MERCEDES,Classe E,DIES,BREAK,6 to 10 years old,3.2,6.283335219672221
MERCEDES,Classe C,ESS,BERLINE,11 years and older,0.7,0.9708975631023159
MERCEDES,Classe E,ESS,CABRIOLET,Less than 1 year old,9.7,7.249679543010516
OPEL,Astra,ESS,BERLINE,2 years old,4.8,0.9824992533453213
AUDI,A8,ESS,BERLINE,6 to 10 years old,11.8,5.834592043055783
RENAULT,Laguna,DIES,BERLINE,11 years and older,4.2,3.5367557779507184
MERCEDES,Classe C,ESS,BREAK,11 years and older,9.5,9.90885443524479
VOLVO,S60,ESS,SUV,3 to 5 years old,2.2,4.029455478401853
MERCEDES,Classe E,ESS,CABRIOLET,Less than 1 year old,2.2,3.9937115422438962
MERCEDES,Classe C,ESS,BERLINE,3 to 5 years old,0.5,8.138078702901334
OPEL,Insignia,DIES,SUV,11 years and older,12.0,2.9058515188604934
VOLKSWAGEN,Transporter,DIES,UTILITAIRE,11 years and older,8.0,5.7671637052281985
MERCEDES,Classe C,ESS,BERLINE,11 years and older,7.9,3.2084342164569346
AUDI,A6,ESS,BERLINE,6 to 10 years old,4.6,7.90835551043351
MERCEDES,Classe GLK,ESS,SUV,6 to 10 years old,11.9,2.487921323889697
RENAULT,Megane,ESS,CABRIOLET,6 to 10 years old,6.7,5.002723111560208
MERCEDES,Classe E,ESS,BERLINE,6 to 10 years old,6.5,4.413992673911913
VOLKSWAGEN,Passat,DIES,BREAK,11 years and older,10.1,5.412191789383693
BENTLEY,Flying Spur,DIES,BERLINE,11 years and older,2.5,6.6703143244502145
PEUGEOT,3008,ESS,SUV,3 to 5 years old,7.6,8.04052750594052
FORD,Ecosport,DIES,SUV,2 years old,8.9,7.077136611006535
OPEL,Astra,ESS,BREAK,Less than 1 year old,8.4,3.3622571266719703
JEEP,Wrangler,ESS,SUV,3 to 5 years old,10.6,10.231276354566067
FORD,Focus,ESS,BREAK,3 to 5 years old,7.7,5.267438275940948
AUDI,A5,DIES,BERLINE,1 year old,9.2,4.581353601318336
MERCEDES,Classe C,DIES,CABRIOLET,6 to 10 years old,2.2,1.279173548627555
RENAULT,Megane,DIES,BERLINE,1 year old,0.5,1.7188464908247063
MERCEDES,Sprinter,DIES,UTILITAIRE,11 years and older,11.9,3.1648219126129895
RENAULT,Megane,ESS,BERLINE,11 years and older,11.7,4.876625664380914
PEUGEOT,3008,ESS,SUV,11 years and older,9.4,5.303376843140442
MERCEDES,Classe E,DIES,BERLINE,2 years old,3.4,3.940928045579602
AUDI,A8,DIES,BERLINE,2 years old,4.4,3.7884486240517843
PORSCHE,Panamera,DIES,BERLINE,11 years and older,0.6,4.573019577971882
MERCEDES,Classe C,ESS,CABRIOLET,3 to 5 years old,3.6,2.9336457459366825
RENAULT,Megane,DIES,CABRIOLET,6 to 10 years old,11.9,6.381721788723918
MERCEDES,Classe E,ESS,CABRIOLET,Less than 1 year old,4.5,6.51260167339691
MERCEDES,Classe E,ESS,BREAK,6 to 10 years old,9.9,9.113504856820898
AUDI,A5,ESS,COUPE,2 years old,10.0,7.386811139841646
FORD,Focus,DIES,BERLINE,1 year old,7.9,3.2445612222764915
MERCEDES,Classe C,ESS,CABRIOLET,3 to 5 years old,7.0,6.81060110337281
FIAT,500,ESS,BERLINE,3 to 5 years old,3.3,6.351562321796291
MERCEDES,Classe GL,ESS,SUV,2 years old,11.8,4.412763640280763
AUDI,A3,ESS,BERLINE,11 years and older,8.4,4.681409073186087
FORD,Focus,ESS,BERLINE,6 to 10 years old,3.1,7.712931431260861
BMW,Serie 5,DIES,BERLINE,6 to 10 years old,11.8,8.136455788404517
MERCEDES,Classe C,DIES,BERLINE,1 year old,0.5,1.113770634504698
MERCEDES,Classe S,ESS,BERLINE,1 year old,0.7,3.6556836390346303
MERCEDES,Classe C,DIES,BERLINE,6 to 10 years old,6.4,11.286132422615884
MINI,Mini,ESS,BERLINE,Less than 1 year old,10.3,2.8974016290326547
HYUNDAI,i20,DIES,BERLINE,11 years and older,5.2,5.407642493684718
PORSCHE,Macan,ESS,SUV,6 to 10 years old,11.4,3.4537976163902204
AUDI,A8,ESS,BERLINE,3 to 5 years old,8.7,2.8431360310979312
MERCEDES,Classe E,DIES,BERLINE,6 to 10 years old,12.0,6.836453164209835
PEUGEOT,308,DIES,CABRIOLET,11 years and older,1.3,7.869257453129814
MERCEDES,Classe C,ESS,BERLINE,6 to 10 years old,3.3,3.930762444126028
MERCEDES,Classe C,DIES,CABRIOLET,2 years old,1.2,7.040935787153544
MERCEDES,Classe E,DIES,BERLINE,11 years and older,10.3,6.57361071477574
FIAT,Fiorino,ESS,UTILITAIRE,3 to 5 years old,0.6,5.27146990234117
MERCEDES,Classe E,ESS,BERLINE,2 years old,2.8,2.6296855894151183
VOLKSWAGEN,Golf,DIES,BERLINE,3 to 5 years old,7.5,3.764223637171824
MERCEDES,Classe E,ESS,BREAK,11 years and older,4.1,6.2745125578069985
MERCEDES,GLB,DIES,SUV,11 years and older,5.6,7.367618727353768
MERCEDES,Classe E,ESS,BERLINE,11 years and older,0.6,3.0789472790344092
MERCEDES,Classe C,ESS-MHEV,BERLINE,6 to 10 years old,11.3,6.116808461780968
PEUGEOT,3008,ESS,SUV,11 years and older,5.0,5.411500500059436
OPEL,Insignia,DIES,BERLINE,6 to 10 years old,9.7,4.920042644390759
ALFA ROMEO,159,ESS,BERLINE,2 years old,0.6,2.7755514063061026
AUDI,A6,ESS-MHEV,BERLINE,3 to 5 years old,11.5,7.376608333218757
VOLKSWAGEN,Passat,DIES,BERLINE,11 years and older,1.3,2.7855270861492256
BMW,Serie 3,ESS,COUPE,3 to 5 years old,0.6,7.3953458633212
AUDI,A4,ESS,BREAK,1 year old,7.2,5.246965351086453
PORSCHE,Macan,ESS,SUV,6 to 10 years old,9.4,3.5888972058060045
MINI,Mini,ESS,BERLINE,6 to 10 years old,9.8,4.862038551217346
MERCEDES,Classe E,HYB-ESS,BERLINE,3 to 5 years old,2.2,2.374503050731719
MERCEDES,Classe C,ESS,BERLINE,6 to 10 years old,11.5,2.491933217411871
MERCEDES,Classe C,DIES,BREAK,11 years and older,11.9,3.858847418705654
MERCEDES,Classe C,ESS,BERLINE,1 year old,3.9,2.5019903293532453
MERCEDES,Classe S,DIES,BERLINE,2 years old,1.4,7.509258648838956
AUDI,A8,ESS,BERLINE,6 to 10 years old,10.2,2.1008363228726594
VOLKSWAGEN,Passat,DIES,BERLINE,11 years and older,9.9,6.224491200275462
FORD,Focus,DIES,CABRIOLET,6 to 10 years old,4.6,5.371784253918329
FIAT,Doblo,DIES,UTILITAIRE,2 years old,0.5,10.463944526822567
MERCEDES,Classe A,DIES,BERLINE,3 to 5 years old,0.6,4.021550895492385
RENAULT,Megane,DIES,BREAK,11 years and older,2.3,2.4768943406885624
SKODA,Octavia,ESS,BREAK,6 to 10 years old,11.8,7.474284383866752
MERCEDES,Classe E,DIES,BERLINE,2 years old,1.1,4.008821288062749
MERCEDES,Classe C,ESS,BERLINE,Less than 1 year old,1.5,3.004891363835471
TOYOTA,Yaris,DIES,BERLINE,11 years and older,11.5,5.367986492172249
FIAT,500,DIES,BERLINE,Less than 1 year old,10.4,2.9657209509149567
VOLKSWAGEN,Passat,ESS,BERLINE,11 years and older,2.2,5.107912527170341
MERCEDES,Classe E,ESS,BREAK,11 years and older,0.6,1.057651434972343
RENAULT,Megane,ESS,BERLINE,2 years old,1.6,1.3571903382358605
BMW,X1,ESS,SUV,11 years and older,9.0,3.8725662877478664
MERCEDES,Classe E,ESS,BERLINE,1 year old,9.8,5.721198019086129
MERCEDES,Classe E,ESS,BERLINE,11 years and older,10.7,7.602119340856753
BMW,Serie 5,DIES,BERLINE,1 year old,2.0,5.884319665594674
AUDI,A6,ESS,SUV,3 to 5 years old,11.3,1.4787298296881004
CITROEN,DS 3,ESS,BERLINE,Less than 1 year old,2.3,2.2438049640449815
MERCEDES,Classe E,DIES,BERLINE,11 years and older,4.8,2.7586646280497207
MERCEDES,Classe E,DIES,CABRIOLET,6 to 10 years old,11.9,7.290238425692424
VOLKSWAGEN,Polo,ESS,BERLINE,11 years and older,3.8,3.0131955956144996
RENAULT,Megane,ESS,BREAK,11 years and older,11.8,4.897877233426788
MERCEDES,Classe E,DIES,CABRIOLET,11 years and older,11.4,4.30887207025874
AUDI,A8,DIES,BERLINE,Less than 1 year old,9.0,6.794607917437502
MERCEDES,Classe E,DIES,BERLINE,2 years old,0.5,6.7493805331185195
MERCEDES,Classe C,ESS,BREAK,11 years and older,12.0,6.38151637517317
FORD,Kuga,ESS,SUV,11 years and older,1.6,3.9992537042025624
MERCEDES,Classe C,DIES,BREAK,11 years and older,11.6,4.812800810045993
RENAULT,Megane,DIES,COUPE,2 years old,9.4,3.7638067716836794
PEUGEOT,3008,ESS,SUV,11 years and older,0.9,2.66324693883528
MERCEDES,Classe E,DIES,COUPE,2 years old,11.3,3.829776468328932
PORSCHE,Cayman type 718,DIES,COUPE,11 years and older,6.5,8.546699516931247
VOLKSWAGEN,T-Cross,DIES,SUV,3 to 5 years old,0.7,4.135764712830249
MERCEDES,Classe E,ESS,BERLINE,6 to 10 years old,11.2,4.139775958123934
MERCEDES,Classe E,ESS,BERLINE,1 year old,9.0,7.866888349474584
MERCEDES,Classe GLK,ESS,SUV,11 years and older,2.0,3.1981992564286035
MERCEDES,Classe C,ESS,BERLINE,3 to 5 years old,1.2,3.693226923793768
MERCEDES,Classe E,DIES,BREAK,11 years and older,0.6,2.8310212097035405
AUDI,A4,ESS,BERLINE,11 years and older,6.5,2.6909956737173313
MERCEDES,Classe C,ESS,BERLINE,11 years and older,5.9,5.322208799733132
SEAT,Ibiza,ESS,BERLINE,11 years and older,2.9,8.273654420456412
MERCEDES,Classe E,ESS,BERLINE,1 year old,0.6,5.191711283934539
MERCEDES,Classe E,ESS,BERLINE,11 years and older,5.6,1.904674040828191
OPEL,Mokka,ESS,SUV,2 years old,0.5,2.526898737551479
BMW,Serie 4,ESS,BERLINE,3 to 5 years old,11.4,2.13334774998576
MERCEDES,Classe E,ESS,CABRIOLET,3 to 5 years old,2.6,4.974542697917339
MERCEDES,Classe C,DIES,COUPE,6 to 10 years old,2.0,1.399546078626736
BMW,Serie 3,ESS,BERLINE,2 years old,7.1,4.5133501495937205
FORD,Mondeo,ESS,BERLINE,6 to 10 years old,10.9,5.301752262296728
MERCEDES,Classe C,ESS,CABRIOLET,1 year old,4.6,6.547408394353769
BMW,X3,ESS,SUV,3 to 5 years old,7.5,9.243710224356736
VOLKSWAGEN,Golf,DIES,CABRIOLET,6 to 10 years old,4.6,3.408558839321808
BMW,Serie 3,ESS,BERLINE,6 to 10 years old,8.7,2.175247725263106
SEAT,Leon,DIES,COUPE,6 to 10 years old,11.8,1.4735107382025507
OPEL,Combo,DIES,UTILITAIRE,6 to 10 years old,12.0,5.076893489644766
CITROEN,DS 3,ESS,CABRIOLET,1 year old,0.5,4.802713042910113
MERCEDES,Classe E,DIES-MHEV,BERLINE,3 to 5 years old,1.1,6.464320088408753
MERCEDES,Classe E,HYB-ESS,BERLINE,1 year old,2.0,1.3262145111423753
BMW,X5,DIES,SUV,Less than 1 year old,0.5,6.058210338860829
VOLKSWAGEN,Golf,DIES,BERLINE,6 to 10 years old,3.9,4.159357990253722
RENAULT,Megane,ESS,BERLINE,3 to 5 years old,2.9,3.733753429232828
RENAULT,Megane,ESS,CABRIOLET,3 to 5 years old,5.9,7.364011097249072
RENAULT,Megane,ESS,BERLINE,11 years and older,9.7,5.088193482223887
AUDI,RS7,ESS,BERLINE,6 to 10 years old,11.9,4.845119513943534
MERCEDES,Classe E,ESS,BERLINE,6 to 10 years old,5.3,9.452170399809612
PEUGEOT,3008,DIES,SUV,2 years old,1.5,2.1429783604782573
PORSCHE,Panamera,ESS,BERLINE,Less than 1 year old,11.1,9.106793638607455
MERCEDES,Classe C,DIES,BERLINE,1 year old,0.5,4.375498462910821
MERCEDES,Classe C,ESS,BREAK,11 years and older,7.2,2.430890019991658
AUDI,A5,ESS,BERLINE,11 years and older,2.4,3.621442922374472
RENAULT,Megane,ESS,CABRIOLET,6 to 10 years old,12.0,3.227710926874968
MERCEDES,Classe C,ESS,BREAK,11 years and older,5.2,2.9040484907376953
MERCEDES,Classe E,ESS,BERLINE,11 years and older,9.5,3.3628770401467163
FORD,Ecosport,ESS,SUV,11 years and older,5.6,3.6262147414683046
MERCEDES,Classe C,ESS,BERLINE,2 years old,8.7,2.434855883011519
AUDI,A6,DIES,SUV,11 years and older,11.7,2.0932295647976886
VOLKSWAGEN,Golf,ESS,CABRIOLET,3 to 5 years old,4.3,4.440760032656534
AUDI,A6,ESS-MHEV,BREAK,6 to 10 years old,9.2,7.0237014291082644
MERCEDES,Classe E,ESS,BERLINE,2 years old,0.5,3.365230909511337
MERCEDES,Classe C,DIES,BERLINE,11 years and older,8.5,8.631158829965045
JAGUAR,E-Pace,ESS,SUV,11 years and older,5.4,7.863541006526781
CITROEN,C5 Aircross,DIES,SUV,1 year old,5.8,5.6580015982423655
CITROEN,C4,DIES,BERLINE,11 years and older,10.4,9.558419532799926
MERCEDES,Classe C,ESS,BERLINE,3 to 5 years old,9.7,1.4113228377226958
DACIA,Sandero,DIES,BERLINE,1 year old,1.0,6.778683695474424
VOLKSWAGEN,Golf,DIES,BERLINE,6 to 10 years old,3.8,7.063687328614443
MERCEDES,Classe E,ETH,COUPE,11 years and older,0.6,3.2377254176675487
TOYOTA,Corolla,DIES,BREAK,6 to 10 years old,1.1,6.1060710448888615
MERCEDES,Classe E,DIES,BERLINE,11 years and older,3.2,6.514522802622183
MERCEDES,Classe E,ESS,BERLINE,Less than 1 year old,9.7,3.3803509608767444
VOLKSWAGEN,Passat,DIES,COUPE,11 years and older,11.2,9.120788511165047
VOLKSWAGEN,Crafter,DIES,UTILITAIRE,11 years and older,4.3,2.6930716997594075
VOLKSWAGEN,Golf,DIES,BERLINE,3 to 5 years old,8.3,1.5425142907342688
VOLKSWAGEN,Golf,DIES,BERLINE,2 years old,2.6,6.437829893664603
MERCEDES,Classe E,DIES,BERLINE,11 years and older,2.2,3.3598864029318456
MERCEDES,Classe E,ESS,CABRIOLET,11 years and older,11.3,7.0088099971218885
MERCEDES,Classe E,DIES,BREAK,11 years and older,2.2,3.994268263743888
MERCEDES,Classe E,DIES,BERLINE,11 years and older,11.2,6.761285578498996
MERCEDES,Classe E,DIES,BERLINE,11 years and older,1.9,1.8631136581582393
MERCEDES,Classe C,ESS,BERLINE,6 to 10 years old,10.7,7.160270128959511
MINI,Mini,ESS,BERLINE,11 years and older,1.8,4.382089603584068
MERCEDES,Classe GLK,DIES,SUV,Less than 1 year old,8.4,7.58174401874525
PEUGEOT,308,DIES,BERLINE,3 to 5 years old,1.0,2.3609468415606516
MERCEDES,Classe C,ESS,BERLINE,3 to 5 years old,10.4,3.3550633081995684
MERCEDES,Classe E,ESS,BERLINE,6 to 10 years old,10.3,5.826778785017541
VOLKSWAGEN,Polo,DIES,BERLINE,6 to 10 years old,11.2,3.358969143688218
RENAULT,Laguna,ESS,BREAK,11 years and older,6.3,5.967544115615114
SEAT,Leon,DIES,COUPE,11 years and older,0.6,7.326093126547609
RENAULT,Megane,ESS,COUPE,Less than 1 year old,0.6,7.810356587884707
MERCEDES,Classe E,DIES,BERLINE,1 year old,8.1,7.94172856076085
MERCEDES,Classe E,DIES,BERLINE,Less than 1 year old,9.3,6.366627275992717
PEUGEOT,208,ESS,BERLINE,6 to 10 years old,10.0,2.7908235185171977
VOLKSWAGEN,Tiguan,LPG,SUV,11 years and older,6.3,4.583642651051784
VOLVO,S60,ESS,BERLINE,3 to 5 years old,1.1,1.4884016588249525
MERCEDES,Classe B,DIES,MONOSPACE,6 to 10 years old,11.0,3.116209844033702
MERCEDES,Classe C,ESS,BERLINE,11 years and older,1.9,1.1334094074896135
MERCEDES,Classe C,DIES,BREAK,3 to 5 years old,4.6,2.0579240519518462
AUDI,A8,ESS,BERLINE,11 years and older,5.2,7.2758713692832835
RENAULT,Clio,DIES,BERLINE,6 to 10 years old,3.8,3.819699756932166
RENAULT,Clio,DIES,BERLINE,Less than 1 year old,0.5,4.306789703347969
CITROEN,Berlingo,DIES,UTILITAIRE,2 years old,0.5,5.807922987490973
AUDI,A5,ESS-MHEV,COUPE,6 to 10 years old,10.6,5.7565361759644755
FIAT,500,DIES,CABRIOLET,6 to 10 years old,11.9,4.381843870876314
PEUGEOT,3008,DIES,SUV,11 years and older,4.9,6.002928353185303
MERCEDES,Classe E,DIES,CABRIOLET,6 to 10 years old,6.9,5.444022874836579
MERCEDES,Classe E,ESS,COUPE,6 to 10 years old,8.8,5.975955206340892
MERCEDES,Classe E,ELEC,BERLINE,11 years and older,7.2,1.632653301501397
SKODA,Scala,DIES,BERLINE,11 years and older,9.4,2.439951802375825
MERCEDES,Classe C,DIES,BERLINE,11 years and older,11.9,5.944875101974035
PEUGEOT,207,ESS,BERLINE,6 to 10 years old,2.3,2.016033768209781
MERCEDES,Classe E,ESS,BREAK,6 to 10 years old,11.9,10.383767175184076
VOLKSWAGEN,Golf,DIES,BREAK,2 years old,1.2,1.7102804659294195
SKODA,Scala,ESS,BERLINE,11 years and older,1.4,7.785550384287222
FIAT,Panda,ESS,BERLINE,2 years old,8.2,2.550318980870613
RENAULT,Megane,ESS,COUPE,6 to 10 years old,5.5,3.678232658042237
SKODA,Kodiaq,ESS,SUV,11 years and older,0.9,3.851585047406563
RENAULT,Master,ESS,UTILITAIRE,Less than 1 year old,2.0,6.925638533353946
VOLKSWAGEN,Passat,CNG,BERLINE,11 years and older,11.1,1.6357755283668132
VOLKSWAGEN,Golf,ESS,BERLINE,6 to 10 years old,10.9,6.0521161833904715
AUDI,TT,ESS,COUPE,Less than 1 year old,7.3,5.359234207930714
MERCEDES,Classe E,ESS,BERLINE,11 years and older,11.3,9.081485307727137
MERCEDES,Classe R,ESS,SUV,11 years and older,11.6,7.790101671864752
SEAT,Leon,ESS,BERLINE,11 years and older,0.9,4.793342137042658
BMW,Serie 3,DIES,BERLINE,3 to 5 years old,10.5,2.6747788205254093
MERCEDES,Classe B,DIES,MONOSPACE,11 years and older,1.3,4.395729660964012
VAUXHALL,Astra,DIES,COUPE,6 to 10 years old,0.5,2.0850866114195097
AUDI,A8,DIES,BERLINE,11 years and older,12.0,2.066804037948712
KIA,Sportage,LPG,SUV,1 year old,5.8,6.896736190671591
BMW,X3,ESS,SUV,3 to 5 years old,9.5,2.4337040639108207
FIAT,Freemont,ESS,SUV,6 to 10 years old,0.9,7.549145872856138
AUDI,A7,ESS,BERLINE,3 to 5 years old,9.6,4.202130853369502
MERCEDES,Classe E,ESS,BERLINE,3 to 5 years old,9.6,8.566094475030415
MERCEDES,Classe C,DIES,COUPE,11 years and older,2.4,9.257320674643164
MERCEDES,Classe E,ESS,BERLINE,6 to 10 years old,12.0,11.34907063525927
RENAULT,Kangoo,ESS,SUV,6 to 10 years old,10.8,5.546019610461369
VOLKSWAGEN,Passat,DIES,BERLINE,2 years old,0.6,9.003711939850652
MERCEDES,Classe C,DIES,BERLINE,3 to 5 years old,8.4,5.957576761190747
VOLKSWAGEN,Caddy,ESS,UTILITAIRE,1 year old,3.3,6.906786433642286
MERCEDES,Classe C,ESS,BERLINE,6 to 10 years old,11.9,4.8945297119795335
RENAULT,Kangoo Express,DIES,UTILITAIRE,3 to 5 years old,0.9,7.495920563458697
VOLKSWAGEN,Passat,ESS,BERLINE,11 years and older,1.3,1.286971078920517
MERCEDES,Classe E,ESS,BERLINE,11 years and older,0.7,2.9276535892684743
FIAT,500,ESS,BERLINE,11 years and older,7.9,4.37770325548387
MERCEDES,Classe E,ESS,CABRIOLET,11 years and older,11.8,5.58652145501498
RENAULT,Megane,ESS,COUPE,3 to 5 years old,1.0,3.702727411511834
